pair,label,rob,timestamp_utc,biais,filters_ok,close,sar_1h,ref_level,bull_vw0,bear_vw0,open_longs,open_shorts,trailing_long,trailing_short,neo_long_armed,neo_short_armed,signal_last_bar,wr_hist_pct,n_trades_hist,watch,confirmed_mini,mini_biais
AUDJPY,ROBUST,100,2026-03-02 19:00,BULL,False,111.578,111.219,111.355,110.01,111.3,0,0,False,False,False,False,AUCUN,16.7,6,Pre_LONG si close > bear_vw0 (111.300),False,BULL
GBPNZD,ROBUST,100,2026-03-02 19:00,BEAR,True,2.25522,2.24764,2.25714,2.24286,2.25484,0,0,False,False,False,False,AUCUN,75.0,4,,False,NEUTRE
NZDUSD,ROBUST,100,2026-03-02 19:00,BULL,True,0.5949,0.59162,0.59974,0.59162,0.60049,5,0,False,False,True,False,AUCUN,0.0,1,Neo_LONG arme (ref=0.59706),False,NEUTRE
EURJPY,ROBUST,86,2026-03-02 19:00,NEUTRE,True,184.041,183.8937,,183.748,184.696,0,0,False,False,False,False,AUCUN,100.0,1,,False,NEUTRE
NZDCAD,ROBUST,83,2026-03-02 19:00,BULL,True,0.81405,0.81161,0.82042,0.81122,0.81434,0,0,False,False,False,False,AUCUN,66.7,6,Pre_LONG si close > bear_vw0 (0.81434),False,NEUTRE
XAUUSD,ROBUST,83,2026-03-02 19:00,NEUTRE,False,5332.58,5334.88673,,5374.37,5417.045,1,0,False,False,False,False,AUCUN,100.0,3,,False,BULL
CADCHF,MOYEN,48,2026-03-02 19:00,BEAR,True,0.569,0.56791,0.56503,0.5621,0.56592,0,0,False,False,False,False,AUCUN,100.0,1,,False,NEUTRE
CHFJPY,MOYEN,37,2026-03-02 19:00,BULL,True,202.002,202.21,202.366,202.808,204.014,0,0,False,False,False,False,AUCUN,81.8,11,,False,NEUTRE
EURAUD,FRAGILE,20,2026-03-02 19:00,BEAR,True,1.64918,1.65634,1.65816,1.65458,1.65899,0,1,False,False,False,True,AUCUN,100.0,9,Neo_SHORT arme (ref=1.66261),False,BEAR
AUDNZD,FRAGILE,14,2026-03-02 19:00,BULL,True,1.19272,1.19095,1.18865,1.18289,1.18858,1,0,False,False,False,False,AUCUN,100.0,6,Pre_LONG si close > bear_vw0 (1.18858),False,BULL
AUDUSD,FRAGILE,14,2026-03-02 19:00,BULL,True,0.70957,0.71017,0.71215,0.70866,0.71322,3,0,False,False,False,False,AUCUN,100.0,1,,False,NEUTRE
USDCHF,FRAGILE,11,2026-03-02 19:00,BEAR,False,0.7786,0.77824,0.7727,0.76786,0.76999,0,0,False,False,False,False,AUCUN,50.0,4,,False,NEUTRE
USDJPY,FRAGILE,10,2026-03-02 19:00,NEUTRE,False,157.28,157.73195,,156.16,157.753,0,0,False,False,False,False,AUCUN,0.0,0,,False,BULL
EURUSD,FRAGILE,9,2026-03-02 19:00,NEUTRE,False,1.17017,1.17078,,1.16981,1.17473,0,0,False,False,False,False,AUCUN,0.0,0,,False,NEUTRE
CADJPY,FRAGILE,9,2026-03-02 19:00,BULL,False,114.954,115.18614,114.304,114.332,115.28,0,0,False,False,False,False,AUCUN,0.0,0,,False,BULL
USDCAD,FRAGILE,7,2026-03-02 19:00,BEAR,True,1.36829,1.36632,1.36792,1.36409,1.3687,0,0,False,False,False,False,AUCUN,60.0,5,,False,NEUTRE
GBPUSD,FRAGILE,2,2026-03-02 19:00,NEUTRE,False,1.34176,1.33658,,1.33599,1.34264,0,0,False,False,False,False,AUCUN,66.7,3,,False,BEAR
EURCHF,FRAGILE,2,2026-03-02 19:00,BEAR,False,0.91118,0.91062,0.91252,0.90289,0.9093,0,0,False,False,False,False,AUCUN,0.0,0,,False,NEUTRE
GBPCHF,FRAGILE,1,2026-03-02 19:00,BEAR,True,1.04486,1.04142,1.04468,1.02902,1.03762,0,0,False,False,False,False,AUCUN,100.0,8,,False,NEUTRE
AUDCHF,FRAGILE,0,2026-03-02 19:00,BULL,True,0.55258,0.54799,0.54988,0.54066,0.55118,0,0,False,False,False,False,AUCUN,100.0,3,,False,NEUTRE
AUDCAD,FRAGILE,0,2026-03-02 19:00,BULL,True,0.9708,0.96542,0.97174,0.96322,0.97087,0,0,False,False,False,False,AUCUN,57.1,7,Pre_LONG si close > bear_vw0 (0.97087),False,NEUTRE
EURGBP,FRAGILE,0,2026-03-02 19:00,NEUTRE,True,0.87206,0.87544,,0.87617,0.87876,0,0,False,False,False,False,AUCUN,0.0,0,,False,NEUTRE
EURCAD,FRAGILE,0,2026-03-02 19:00,NEUTRE,False,1.60107,1.60074,,1.59888,1.61294,0,0,False,False,False,False,AUCUN,0.0,0,,False,NEUTRE
EURNZD,FRAGILE,0,2026-03-02 19:00,NEUTRE,True,1.96704,1.97555,,1.96748,1.97917,0,0,False,False,False,False,AUCUN,0.0,0,,False,BEAR
GBPAUD,FRAGILE,0,2026-03-02 19:00,BEAR,True,1.89122,1.89646,1.90591,1.88565,1.89854,0,0,False,False,False,False,AUCUN,84.6,13,,False,BEAR
GBPJPY,FRAGILE,0,2026-03-02 19:00,NEUTRE,False,211.042,210.27094,,209.356,210.54,0,0,False,False,False,False,AUCUN,50.0,2,,False,NEUTRE
GBPCAD,FRAGILE,0,2026-03-02 19:00,BEAR,False,1.83598,1.82804,1.8485,1.82184,1.84622,0,0,False,False,False,False,AUCUN,0.0,0,,False,BEAR
NZDJPY,FRAGILE,0,2026-03-02 19:00,NEUTRE,False,93.568,93.21564,,92.918,93.698,0,0,False,False,False,False,AUCUN,0.0,0,,False,BULL
NZDCHF,FRAGILE,0,2026-03-02 19:00,NEUTRE,True,0.46332,0.46018,,0.45668,0.46354,0,0,False,False,False,False,AUCUN,0.0,0,,False,NEUTRE
